[0.000000] (-) TimerEvent: {}
[0.000690] (-) JobUnselected: {'identifier': 'cpp_pubsub'}
[0.000836] (-) JobUnselected: {'identifier': 'custom_msgs'}
[0.000893] (-) JobUnselected: {'identifier': 'decisions'}
[0.000927] (-) JobUnselected: {'identifier': 'dubins'}
[0.001770] (-) JobUnselected: {'identifier': 'map'}
[0.001814] (-) JobUnselected: {'identifier': 'shapes'}
[0.001849] (-) JobUnselected: {'identifier': 'utils'}
[0.001884] (shelfino) JobQueued: {'identifier': 'shelfino', 'dependencies': OrderedDict([('custom_msgs', '/home/p3zz/Documents/uni/robot-planning-project/install/custom_msgs'), ('shapes', '/home/p3zz/Documents/uni/robot-planning-project/install/shapes')])}
[0.001936] (shelfino) JobStarted: {'identifier': 'shelfino'}
[0.019782] (shelfino) JobProgress: {'identifier': 'shelfino', 'progress': 'cmake'}
[0.020330] (shelfino) JobProgress: {'identifier': 'shelfino', 'progress': 'build'}
[0.021112] (shelfino) Command: {'cmd': ['/usr/bin/cmake', '--build', '/home/p3zz/Documents/uni/robot-planning-project/build/shelfino', '--', '-j8', '-l8'], 'cwd': '/home/p3zz/Documents/uni/robot-planning-project/build/shelfino', 'env': OrderedDict([('LESSOPEN', '| /usr/bin/lesspipe %s'), ('USER', 'p3zz'), ('LC_TIME', 'it_IT.UTF-8'), ('XDG_SESSION_TYPE', 'wayland'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/home/p3zz/Documents/uni/robot-planning-project/install/custom_msgs/lib:/home/p3zz/Documents/uni/robot-planning-project/install/decisions/lib:/home/p3zz/Documents/uni/robot-planning-project/install/map/lib:/home/p3zz/Documents/uni/robot-planning-project/install/dubins/lib:/home/p3zz/Documents/uni/robot-planning-project/install/shapes/lib:/home/p3zz/Documents/uni/robot-planning-project/install/utils/lib:/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/home/p3zz'), ('OLDPWD', '/home/p3zz/Documents/uni/Shelfino_ROS2'), ('DESKTOP_SESSION', 'ubuntu'), ('ROS_PYTHON_VERSION', '3'), ('GNOME_SHELL_SESSION_MODE', 'ubuntu'), ('GTK_MODULES', 'gail:atk-bridge'), ('LC_MONETARY', 'it_IT.UTF-8'), ('SYSTEMD_EXEC_PID', '3417'), ('DBUS_SESSION_BUS_ADDRESS', 'unix:path=/run/user/1000/bus'), ('COLORTERM', 'truecolor'), ('IM_CONFIG_PHASE', '1'), ('WAYLAND_DISPLAY', 'wayland-0'), ('COLCON_PREFIX_PATH', '/home/p3zz/Documents/uni/robot-planning-project/install'), ('ROS_DISTRO', 'humble'), ('LOGNAME', 'p3zz'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('XDG_SESSION_CLASS', 'user'), ('USERNAME', 'p3zz'), ('TERM', 'xterm-256color'), ('GNOME_DESKTOP_SESSION_ID', 'this-is-deprecated'), ('ROS_LOCALHOST_ONLY', '0'), ('PATH', '/opt/ros/humble/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/snap/bin'), ('SESSION_MANAGER', 'local/p3zz-X510UQR:@/tmp/.ICE-unix/1815,unix/p3zz-X510UQR:/tmp/.ICE-unix/1815'), ('XDG_MENU_PREFIX', 'gnome-'), ('LC_ADDRESS', 'it_IT.UTF-8'), ('GNOME_TERMINAL_SCREEN', '/org/gnome/Terminal/screen/b52d2f49_e7e0_47cb_a4d8_e638532aed2a'), ('GNOME_SETUP_DISPLAY', ':1'), ('XDG_RUNTIME_DIR', '/run/user/1000'), ('DISPLAY', ':0'), ('LANG', 'en_US.UTF-8'), ('XDG_CURRENT_DESKTOP', 'ubuntu:GNOME'), ('LC_TELEPHONE', 'it_IT.UTF-8'), ('XMODIFIERS', '@im=ibus'), ('XDG_SESSION_DESKTOP', 'ubuntu'), ('XAUTHORITY', '/run/user/1000/.mutter-Xwaylandauth.LN40Y1'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('GNOME_TERMINAL_SERVICE', ':1.120'), ('SSH_AGENT_LAUNCHER', 'gnome-keyring'), ('SSH_AUTH_SOCK', '/run/user/1000/keyring/ssh'), ('AMENT_PREFIX_PATH', '/home/p3zz/Documents/uni/robot-planning-project/install/custom_msgs:/home/p3zz/Documents/uni/robot-planning-project/install/decisions:/home/p3zz/Documents/uni/robot-planning-project/install/map:/home/p3zz/Documents/uni/robot-planning-project/install/dubins:/home/p3zz/Documents/uni/robot-planning-project/install/shapes:/home/p3zz/Documents/uni/robot-planning-project/install/utils:/opt/ros/humble'), ('SHELL', '/bin/bash'), ('LC_NAME', 'it_IT.UTF-8'), ('QT_ACCESSIBILITY', '1'), ('GDMSESSION', 'ubuntu'), ('LESSCLOSE', '/usr/bin/lesspipe %s %s'), ('LC_MEASUREMENT', 'it_IT.UTF-8'), ('LC_IDENTIFICATION', 'it_IT.UTF-8'), ('QT_IM_MODULE', 'ibus'), ('PWD', '/home/p3zz/Documents/uni/robot-planning-project/build/shelfino'), ('LC_ALL', 'en_US.UTF-8'), ('XDG_CONFIG_DIRS', '/etc/xdg/xdg-ubuntu:/etc/xdg'), ('XDG_DATA_DIRS', '/usr/share/ubuntu:/usr/local/share/:/usr/share/:/var/lib/snapd/desktop'), ('PYTHONPATH', '/home/p3zz/Documents/uni/robot-planning-project/install/custom_msgs/local/lib/python3.10/dist-packages:/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('LC_NUMERIC', 'it_IT.UTF-8'), ('LC_PAPER', 'it_IT.UTF-8'), ('COLCON', '1'), ('VTE_VERSION', '6800'), ('CMAKE_PREFIX_PATH', '/home/p3zz/Documents/uni/robot-planning-project/install/shapes:/home/p3zz/Documents/uni/robot-planning-project/install/custom_msgs:/home/p3zz/Documents/uni/robot-planning-project/install/decisions:/home/p3zz/Documents/uni/robot-planning-project/install/map:/home/p3zz/Documents/uni/robot-planning-project/install/dubins:/home/p3zz/Documents/uni/robot-planning-project/install/utils:/opt/ros/humble')]), 'shell': False}
[0.076396] (shelfino) StdoutLine: {'line': b'\x1b[35m\x1b[1mConsolidate compiler generated dependencies of target shelfino\x1b[0m\n'}
[0.099373] (-) TimerEvent: {}
[0.104609] (shelfino) StdoutLine: {'line': b'[ 50%] \x1b[32mBuilding CXX object CMakeFiles/shelfino.dir/src/main.cpp.o\x1b[0m\n'}
[0.199484] (-) TimerEvent: {}
[0.299799] (-) TimerEvent: {}
[0.400062] (-) TimerEvent: {}
[0.500338] (-) TimerEvent: {}
[0.600584] (-) TimerEvent: {}
[0.700843] (-) TimerEvent: {}
[0.801123] (-) TimerEvent: {}
[0.901366] (-) TimerEvent: {}
[1.001614] (-) TimerEvent: {}
[1.101852] (-) TimerEvent: {}
[1.202153] (-) TimerEvent: {}
[1.302397] (-) TimerEvent: {}
[1.402637] (-) TimerEvent: {}
[1.502962] (-) TimerEvent: {}
[1.603265] (-) TimerEvent: {}
[1.703568] (-) TimerEvent: {}
[1.803833] (-) TimerEvent: {}
[1.904130] (-) TimerEvent: {}
[2.004431] (-) TimerEvent: {}
[2.104693] (-) TimerEvent: {}
[2.204972] (-) TimerEvent: {}
[2.305270] (-) TimerEvent: {}
[2.405564] (-) TimerEvent: {}
[2.505857] (-) TimerEvent: {}
[2.606165] (-) TimerEvent: {}
[2.706485] (-) TimerEvent: {}
[2.806771] (-) TimerEvent: {}
[2.907091] (-) TimerEvent: {}
[3.007364] (-) TimerEvent: {}
[3.107666] (-) TimerEvent: {}
[3.208018] (-) TimerEvent: {}
[3.308315] (-) TimerEvent: {}
[3.408627] (-) TimerEvent: {}
[3.508929] (-) TimerEvent: {}
[3.609207] (-) TimerEvent: {}
[3.709498] (-) TimerEvent: {}
[3.809750] (-) TimerEvent: {}
[3.909999] (-) TimerEvent: {}
[4.010309] (-) TimerEvent: {}
[4.110606] (-) TimerEvent: {}
[4.119169] (shelfino) StderrLine: {'line': b'In file included from \x1b[01m\x1b[K/home/p3zz/Documents/uni/robot-planning-project/communication/shelfino/src/main.cpp:1\x1b[m\x1b[K:\n'}
[4.119659] (shelfino) StderrLine: {'line': b'\x1b[01m\x1b[K/home/p3zz/Documents/uni/robot-planning-project/communication/shelfino/include/shelfino/shelfino.hpp:\x1b[m\x1b[K In constructor \xe2\x80\x98\x1b[01m\x1b[KShelfinoDto::ShelfinoDto()\x1b[m\x1b[K\xe2\x80\x99:\n'}
[4.119862] (shelfino) StderrLine: {'line': b'\x1b[01m\x1b[K/home/p3zz/Documents/uni/robot-planning-project/communication/shelfino/include/shelfino/shelfino.hpp:156:22:\x1b[m\x1b[K \x1b[01;31m\x1b[Kerror: \x1b[m\x1b[Kno matching function for call to \xe2\x80\x98\x1b[01m\x1b[KSafeValue<std::vector<Point2D> >::SafeValue()\x1b[m\x1b[K\xe2\x80\x99\n'}
[6.963982] (shelfino) StderrLine: {'line': b'\x1b[01m\x1b[K/usr/include/c++/11/bits/shared_ptr_base.h:650:16:\x1b[m\x1b[K   required from \xe2\x80\x98\x1b[01m\x1b[Kstd::__shared_count<_Lp>::__shared_count(_Tp*&, std::_Sp_alloc_shared_tag<_Alloc>, _Args&& ...) [with _Tp = FollowPathClient; _Alloc = std::allocator<FollowPathClient>; _Args = {SafeValue<RoadMap>&}; __gnu_cxx::_Lock_policy _Lp = __gnu_cxx::_S_atomic]\x1b[m\x1b[K\xe2\x80\x99\n'}
[6.964074] (shelfino) StderrLine: {'line': b'\x1b[01m\x1b[K/usr/include/c++/11/bits/shared_ptr_base.h:1342:14:\x1b[m\x1b[K   required from \xe2\x80\x98\x1b[01m\x1b[Kstd::__shared_ptr<_Tp, _Lp>::__shared_ptr(std::_Sp_alloc_shared_tag<_Tp>, _Args&& ...) [with _Alloc = std::allocator<FollowPathClient>; _Args = {SafeValue<RoadMap>&}; _Tp = FollowPathClient; __gnu_cxx::_Lock_policy _Lp = __gnu_cxx::_S_atomic]\x1b[m\x1b[K\xe2\x80\x99\n'}
[6.964152] (shelfino) StderrLine: {'line': b'\x1b[01m\x1b[K/usr/include/c++/11/bits/shared_ptr.h:409:59:\x1b[m\x1b[K   required from \xe2\x80\x98\x1b[01m\x1b[Kstd::shared_ptr<_Tp>::shared_ptr(std::_Sp_alloc_shared_tag<_Tp>, _Args&& ...) [with _Alloc = std::allocator<FollowPathClient>; _Args = {SafeValue<RoadMap>&}; _Tp = FollowPathClient]\x1b[m\x1b[K\xe2\x80\x99\n'}
[6.964241] (shelfino) StderrLine: {'line': b'\x1b[01m\x1b[K/usr/include/c++/11/bits/shared_ptr.h:862:14:\x1b[m\x1b[K   required from \xe2\x80\x98\x1b[01m\x1b[Kstd::shared_ptr<_Tp> std::allocate_shared(const _Alloc&, _Args&& ...) [with _Tp = FollowPathClient; _Alloc = std::allocator<FollowPathClient>; _Args = {SafeValue<RoadMap>&}]\x1b[m\x1b[K\xe2\x80\x99\n'}
[6.964321] (shelfino) StderrLine: {'line': b'\x1b[01m\x1b[K/usr/include/c++/11/bits/shared_ptr.h:878:39:\x1b[m\x1b[K   required from \xe2\x80\x98\x1b[01m\x1b[Kstd::shared_ptr<_Tp> std::make_shared(_Args&& ...) [with _Tp = FollowPathClient; _Args = {SafeValue<RoadMap>&}]\x1b[m\x1b[K\xe2\x80\x99\n'}
[6.964392] (shelfino) StderrLine: {'line': b'\x1b[01m\x1b[K/home/p3zz/Documents/uni/robot-planning-project/communication/shelfino/src/main.cpp:29:65:\x1b[m\x1b[K   required from here\n'}
[6.964460] (shelfino) StderrLine: {'line': b'\x1b[01m\x1b[K/usr/include/c++/11/ext/new_allocator.h:162:11:\x1b[m\x1b[K \x1b[01;31m\x1b[Kerror: \x1b[m\x1b[Kno matching function for call to \xe2\x80\x98\x1b[01m\x1b[KFollowPathClient::FollowPathClient(SafeValue<RoadMap>&)\x1b[m\x1b[K\xe2\x80\x99\n'}
[6.964540] (shelfino) StderrLine: {'line': b'  162 |         { \x1b[01;31m\x1b[K::new((void *)__p) _Up(std::forward<_Args>(__args)...)\x1b[m\x1b[K; }\n'}
[6.964607] (shelfino) StderrLine: {'line': b'      |           \x1b[01;31m\x1b[K^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\x1b[m\x1b[K\n'}
[6.964673] (shelfino) StderrLine: {'line': b'In file included from \x1b[01m\x1b[K/home/p3zz/Documents/uni/robot-planning-project/communication/shelfino/src/main.cpp:1\x1b[m\x1b[K:\n'}
[6.964740] (shelfino) StderrLine: {'line': b'\x1b[01m\x1b[K/home/p3zz/Documents/uni/robot-planning-project/communication/shelfino/include/shelfino/shelfino.hpp:319:5:\x1b[m\x1b[K \x1b[01;36m\x1b[Knote: \x1b[m\x1b[Kcandidate: \xe2\x80\x98\x1b[01m\x1b[KFollowPathClient::FollowPathClient(SafeValue<DubinCurve>&)\x1b[m\x1b[K\xe2\x80\x99\n'}
[6.964850] (shelfino) StderrLine: {'line': b'  319 |     \x1b[01;36m\x1b[KFollowPathClient\x1b[m\x1b[K(SafeValue<DubinCurve>& curve) : Node("follow_path_client"), curve{curve} {\n'}
[6.964972] (shelfino) StderrLine: {'line': b'      |     \x1b[01;36m\x1b[K^~~~~~~~~~~~~~~~\x1b[m\x1b[K\n'}
[6.965044] (shelfino) StderrLine: {'line': b'\x1b[01m\x1b[K/home/p3zz/Documents/uni/robot-planning-project/communication/shelfino/include/shelfino/shelfino.hpp:319:45:\x1b[m\x1b[K \x1b[01;36m\x1b[Knote: \x1b[m\x1b[K  no known conversion for argument 1 from \xe2\x80\x98\x1b[01m\x1b[KSafeValue<RoadMap>\x1b[m\x1b[K\xe2\x80\x99 to \xe2\x80\x98\x1b[01m\x1b[KSafeValue<DubinCurve>&\x1b[m\x1b[K\xe2\x80\x99\n'}
[6.965115] (shelfino) StderrLine: {'line': b'  319 |     FollowPathClient(\x1b[01;36m\x1b[KSafeValue<DubinCurve>& curve\x1b[m\x1b[K) : Node("follow_path_client"), curve{curve} {\n'}
[6.965183] (shelfino) StderrLine: {'line': b'      |                      \x1b[01;36m\x1b[K~~~~~~~~~~~~~~~~~~~~~~~^~~~~\x1b[m\x1b[K\n'}
[7.018694] (-) TimerEvent: {}
[7.118952] (-) TimerEvent: {}
[7.219240] (-) TimerEvent: {}
[7.319532] (-) TimerEvent: {}
[7.419834] (-) TimerEvent: {}
[7.520114] (-) TimerEvent: {}
[7.620404] (-) TimerEvent: {}
[7.720651] (-) TimerEvent: {}
[7.820934] (-) TimerEvent: {}
[7.921216] (-) TimerEvent: {}
[8.021466] (-) TimerEvent: {}
[8.121727] (-) TimerEvent: {}
[8.222014] (-) TimerEvent: {}
[8.322307] (-) TimerEvent: {}
[8.422584] (-) TimerEvent: {}
[8.522837] (-) TimerEvent: {}
[8.623147] (-) TimerEvent: {}
[8.723449] (-) TimerEvent: {}
[8.823705] (-) TimerEvent: {}
[8.923981] (-) TimerEvent: {}
[9.024297] (-) TimerEvent: {}
[9.124680] (-) TimerEvent: {}
[9.225031] (-) TimerEvent: {}
[9.325362] (-) TimerEvent: {}
[9.425687] (-) TimerEvent: {}
[9.525965] (-) TimerEvent: {}
[9.626266] (-) TimerEvent: {}
[9.726583] (-) TimerEvent: {}
[9.826912] (-) TimerEvent: {}
[9.927232] (-) TimerEvent: {}
[10.027574] (-) TimerEvent: {}
[10.127984] (-) TimerEvent: {}
[10.228340] (-) TimerEvent: {}
[10.328643] (-) TimerEvent: {}
[10.428929] (-) TimerEvent: {}
[10.529179] (-) TimerEvent: {}
[10.629431] (-) TimerEvent: {}
[10.729700] (-) TimerEvent: {}
[10.829980] (-) TimerEvent: {}
[10.930320] (-) TimerEvent: {}
[11.030621] (-) TimerEvent: {}
[11.130992] (-) TimerEvent: {}
[11.231281] (-) TimerEvent: {}
[11.331584] (-) TimerEvent: {}
[11.431858] (-) TimerEvent: {}
[11.532121] (-) TimerEvent: {}
[11.632402] (-) TimerEvent: {}
[11.732693] (-) TimerEvent: {}
[11.832974] (-) TimerEvent: {}
[11.933222] (-) TimerEvent: {}
[11.942947] (shelfino) StderrLine: {'line': b'gmake[2]: *** [CMakeFiles/shelfino.dir/build.make:76: CMakeFiles/shelfino.dir/src/main.cpp.o] Error 1\n'}
[11.943212] (shelfino) StderrLine: {'line': b'gmake[1]: *** [CMakeFiles/Makefile2:137: CMakeFiles/shelfino.dir/all] Error 2\n'}
[11.943406] (shelfino) StderrLine: {'line': b'gmake: *** [Makefile:146: all] Error 2\n'}
[11.945370] (shelfino) CommandEnded: {'returncode': 2}
[11.988214] (shelfino) JobEnded: {'identifier': 'shelfino', 'rc': 2}
[11.998899] (-) EventReactorShutdown: {}
